feature_id	module_label	module_color
YOR028C	0	grey
YCR107W	0	grey
YGL258W-A	0	grey
YDL244W	1	turquoise
YDR343C	0	grey
YMR323W	0	grey
YOR381W-A	0	grey
YOL165C	0	grey
YPR159C-A	0	grey
YAR066W	0	grey
YLR037C	0	grey
YOR100C	1	turquoise
YAR069C	0	grey
YNR060W	1	turquoise
YMR319C	1	turquoise
YFR055W	1	turquoise
YCL026C-A	0	grey
YER053C-A	0	grey
YLR461W	0	grey
YOR391C	0	grey
YCR021C	0	grey
YGL261C	0	grey
YLL063C	0	grey
YHR211W	0	grey
YPL281C	0	grey
YKR104W	0	grey
YDR542W	0	grey
YHL048W	3	brown
YGR067C	1	turquoise
YDR342C	0	grey
YBR103C-A	0	grey
YLR307C-A	0	grey
YOL155C	1	turquoise
YMR322C	0	grey
YDR492W	1	turquoise
YOR393W	0	grey
X598-snap_masked-277-BFM_3	0	grey
YIL011W	0	grey
YML058W-A	0	grey
YDL204W	0	grey
YBR056W-A	0	grey
YHR214W	0	grey
YPL223C	1	turquoise
YGL088W	1	turquoise
YBR240C	1	turquoise
YGR035C	0	grey
X22-EC1118_1O4_6535g	0	grey
X29-EC1118_1O4_6634g	0	grey
X1477-maker-CGH_5-16559	2	blue
YKL096C-B	0	grey
YGL184C	1	turquoise
YFL068W	2	blue
YHR033W	0	grey
YAR073W	3	brown
YAL061W	0	grey
YAL067C	0	grey
YBR116C	0	grey
YFL055W	0	grey
YDR039C	0	grey
YBR067C	1	turquoise
YHR022C-A	0	grey
YGR142W	0	grey
YBL112C	2	blue
X622-snap_masked-3685-BTA_5	0	grey
YMR189W	1	turquoise
YEL039C	0	grey
YHR096C	1	turquoise
YDL243C	0	grey
YPR151C	1	turquoise
YIL015W	0	grey
YIL177C	2	blue
YPR193C	1	turquoise
YMR058W	1	turquoise
YAL068C	0	grey
YOL014W	0	grey
YFR053C	0	grey
YDR040C	0	grey
YDR019C	1	turquoise
YNR057C	1	turquoise
YJL153C	0	grey
YPL280W	0	grey
YJL225C	2	blue
YOR212W	0	grey
YFL061W	0	grey
YDL222C	0	grey
YGR287C	2	blue
YLR040C	0	grey
X1460-maker-AMA_5-10173	0	grey
YLR406C-A	0	grey
X1695-snap_masked-YAN-14482	0	grey
YDR491C	1	turquoise
X1538-maker-YCY-8051	0	grey
YNL335W	0	grey
X908-augustus_masked-ABL_5-5136	0	grey
YCR099C	0	grey
YJL222W	3	brown
YCR018C-A	2	blue
YOL101C	1	turquoise
YDL159W-A	0	grey
YNL146C-A	0	grey
YDR038C	0	grey
YNL195C	0	grey
X494-maker-370-YDJ	0	grey
YBL071C-B	0	grey
YHR214C-E	3	brown
YJR115W	0	grey
YAR031W	0	grey
YBR298C	2	blue
YGR248W	0	grey
YIL119C	0	grey
YHR218W-A	2	blue
YKR097W	0	grey
YPL171C	0	grey
YHR032C-A	0	grey
YPR203W	2	blue
X127-augustus_masked-1689-AIE_1	0	grey
YPL230W	0	grey
YHR092C	0	grey
YER067C-A	0	grey
YGL006W-A	0	grey
YHR213W-A	0	grey
YPL250C	1	turquoise
YFR012W-A	0	grey
YBR020W	0	grey
YKL220C	1	turquoise
YJR086W	0	grey
YDR524C-A	0	grey
YPR200C	2	blue
X833-augustus_masked-CCH_4-6793	0	grey
YCR013C	1	turquoise
YIL060W	0	grey
YEL071W	0	grey
YJR095W	0	grey
X1751-snap_masked-BSL_4-12345	0	grey
YLR142W	0	grey
YOL050C	3	brown
YGR064W	1	turquoise
YCR102C	3	brown
YKL187C	1	turquoise
YER078W-A	0	grey
X654-snap_masked-5487-AQA_4	0	grey
YKL163W	0	grey
YPL152W-A	0	grey
YHL040C	1	turquoise
YGR256W	0	grey
YGR065C	1	turquoise
YHR213W	0	grey
YBR019C	0	grey
YGR201C	0	grey
YHL044W	0	grey
YDL241W	0	grey
YPR123C	0	grey
YMR145C	1	turquoise
YHR086W-A	0	grey
YMR242W-A	0	grey
YLR303W	0	grey
YGR043C	1	turquoise
YPR160W	0	grey
YER185W	0	grey
YAR033W	0	grey
YER150W	0	grey
YDR540C	0	grey
YIL173W	3	brown
YKL106C-A	0	grey
YKR103W	0	grey
YJL052C-A	0	grey
YJL223C	0	grey
YGR236C	0	grey
YHR213W-B	0	grey
YCR020C	1	turquoise
YMR081C	1	turquoise
YOR374W	0	grey
YJL079C	1	turquoise
YOL055C	1	turquoise
YCR101C	0	grey
YHR219W	2	blue
YIL176C	0	grey
YOL157C	0	grey
YNL194C	0	grey
YDR133C	1	turquoise
YOL084W	0	grey
YAL037C-B	1	turquoise
YDR340W	0	grey
YPR201W	2	blue
YBR054W	0	grey
YMR170C	0	grey
YOL152W	0	grey
YBR187W	0	grey
YFL066C	2	blue
YHL046W-A	0	grey
YLL062C	0	grey
YBR093C	0	grey
YDL182W	1	turquoise
YOR161C-C	0	grey
YLR460C	3	brown
YFR010W-A	0	grey
YOL013W-A	1	turquoise
YNL112W	1	turquoise
YGL051W	0	grey
YPR124W	1	turquoise
YLL026W	0	grey
YJR158W	0	grey
YOR173W	0	grey
YHR139C	0	grey
YDL245C	0	grey
YJL216C	0	grey
YKR080W	1	turquoise
YBR147W	1	turquoise
YOR302W	1	turquoise
YPR204W	2	blue
YCL065W	0	grey
X1468-maker-BDG_5-19334	0	grey
YJR010W	0	grey
YGR249W	1	turquoise
YER054C	0	grey
YMR206W	0	grey
YLL066C	2	blue
YDR320W-B	0	grey
YCR100C	0	grey
YLR136C	1	turquoise
YAR064W	0	grey
YJR151C	0	grey
YMR105C	0	grey
YLR149C-A	0	grey
YDL085W	1	turquoise
YGR052W	0	grey
YCL048W-A	0	grey
YKR075C	0	grey
YOR011W-A	0	grey
YNL117W	1	turquoise
YGL193C	0	grey
YAR015W	1	turquoise
X690-snap_masked-963-AFD_4	0	grey
YML066C	3	brown
X1126-augustus_masked-APS_4-8484	0	grey
YFR052C-A	0	grey
YPR108W-A	1	turquoise
YHR215W	0	grey
YEL077C	2	blue
YJR159W	0	grey
YMR247W-A	0	grey
YBL113C	2	blue
YMR011W	0	grey
YOR178C	1	turquoise
YLR265C	0	grey
YBR145W	0	grey
X18-EC1118_1O4_6480g	0	grey
YLL067C	2	blue
YAR071W	0	grey
YFL064C	2	blue
YGL117W	1	turquoise
YGR286C	1	turquoise
