feature_id	YEAST-CENPK-LOWGROWTH
MET:FEATURE:positive:325.1118:22.42	2087347.19204331
MET:FEATURE:positive:245.0976:22.85	3203943.46881167
MET:FEATURE:positive:258.0652:22.64	1484494.76345491
MET:FEATURE:positive:261.0366:21.07	12715429.1095366
MET:FEATURE:positive:325.2905:22.64	817626.033821918
MET:FEATURE:positive:338.0737:22.64	1192989.38228398
MET:FEATURE:positive:362.0856:22.20	3510450.42253481
MET:FEATURE:positive:442.1031:22.42	3956944.34185337
MET:FEATURE:positive:198.0530:22.42	650898.723496309
MET:FEATURE:positive:217.0663:22.42	1881658.01308997
MET:FEATURE:positive:258.0814:22.64	9478929.25236688
MET:FEATURE:positive:261.1170:22.64	1586509.22436956
MET:FEATURE:positive:129.6618:23.07	566160.886233802
MET:FEATURE:positive:163.0599:23.07	832561.58384756
MET:FEATURE:positive:337.0693:22.85	582298.589956891
MET:FEATURE:positive:359.1025:23.07	1119410.03709731
MET:FEATURE:positive:441.0999:22.42	27903575.7230661
MET:FEATURE:positive:183.0863:23.07	953713.044699301
MET:FEATURE:positive:258.1382:22.85	9573629.04813988
MET:FEATURE:positive:592.1662:22.85	3035784.85588009
MET:FEATURE:positive:360.1493:22.85	7104489.46261983
MET:FEATURE:positive:515.2126:22.42	33249941.3448513
MET:FEATURE:positive:260.0526:21.45	12872310.7748902
MET:FEATURE:positive:261.0840:22.85	4617814.72214082
MET:FEATURE:positive:131.0104:22.42	2359184.70690564
MET:FEATURE:positive:244.0941:22.85	42052408.561583
MET:FEATURE:positive:260.1141:22.85	23979799.4174494
MET:FEATURE:positive:336.0666:23.07	5141468.69105783
MET:FEATURE:positive:349.0734:23.28	9803991.87189582
MET:FEATURE:positive:184.0731:22.85	5638891.40636058
MET:FEATURE:positive:324.0585:23.07	6129467.09573105
MET:FEATURE:positive:124.0543:24.71	180516.936170848
MET:FEATURE:positive:153.0599:24.49	321200.965451869
MET:FEATURE:positive:206.0445:24.49	661617.752556922
MET:FEATURE:positive:312.1303:24.49	473314.467808658
MET:FEATURE:positive:125.0428:24.49	750078.166397232
MET:FEATURE:positive:147.0860:24.96	779085.652330234
MET:FEATURE:positive:262.1031:24.71	387118.491140868
MET:FEATURE:positive:309.1295:24.49	787440.243488722
MET:FEATURE:positive:388.2534:24.96	495825.300519984
MET:FEATURE:positive:124.0521:24.71	325944.996975243
MET:FEATURE:positive:124.0588:24.71	6098554.43517691
MET:FEATURE:positive:134.0642:24.96	188551.273697039
MET:FEATURE:positive:285.1022:24.49	2825829.45444614
MET:FEATURE:positive:311.0900:24.96	526112.081192063
MET:FEATURE:positive:344.2273:24.71	860975.372767746
MET:FEATURE:positive:130.0577:25.21	286442.518342641
MET:FEATURE:positive:130.0600:25.21	861654.11164871
MET:FEATURE:positive:133.0496:26.46	4049086.25702617
