reported_result_id	study_accession	source_sample_id	showcase_sample_id	metabolite_name	reported_abundance	source_identification_label	database_identifier	chemical_formula	smiles	inchi	pubchem_id	kegg_id	hmdb_id	method	is_internal_standard	result_layer	mapping_to_reprocessed_feature	annotation_source
MTBLS2015:ROW:0135	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Malic acid	18981471	Malic acid	CHEBI:6650	C4H6O5	OC(CC(O)=O)C(O)=O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0136	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Oxalic acid	62426	Oxalic acid	CHEBI:16995	C2H2O4	OC(=O)C(O)=O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0137	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	L-Histidine	45630	L-Histidine	CHEBI:15971	C6H9N3O2	N[C@@H](Cc1c[nH]cn1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0138	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	L-Malic acid	37786447	L-Malic acid	CHEBI:30797	C4H6O5	O[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0139	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Adenosine 2',3'-cyclic phosphate	22424	Adenosine 2',3'-cyclic phosphate	CHEBI:175195	C10H12N5O6P	P1(OC2C(O1)C(OC2N3C4=NC=NC(N)=C4N=C3)CO)(O)=O	InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7-6(4(1-16)19-10)20-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0140	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Uridine 5'-diphosphate	588208	Uridine 5'-diphosphate	CHEBI:17659	C9H14N2O12P2	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0141	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	1,5-Anhydrosorbitol	8268	1,5-Anhydrosorbitol	CHEBI:16070	C6H12O5	OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C6H12O5/c7-1-4-6(10)5(9)3(8)2-11-4/h3-10H,1-2H2/t3-,4+,5+,6+/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0142	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Pterin	37322	Pterin	CHEBI:26374	C6H5N5O							False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0143	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Myristic acid	123020	Myristic acid	CHEBI:28875	C14H28O2	CCCCCCCCCCCCCC(O)=O	InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0144	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	5-Aminopentanoic acid	85335	5-Aminopentanoic acid	CHEBI:15887	C5H11NO2	NCCCCC(O)=O	InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
