module_eigengene	trait_id	correlation	p_value	source_cohort	source_matrix	workflow	software
ME1	protein_YAL003W	-0.000109983129508726	0.997500174299388	PXD044523_companion_Zenodo_10567083	RNAseq_969_log2tpm_top500_variance	WGCNA_signed_power6_v1	WGCNA_1.74
ME0	protein_YAL003W	0.0464301481696733	0.18571501620183	PXD044523_companion_Zenodo_10567083	RNAseq_969_log2tpm_top500_variance	WGCNA_signed_power6_v1	WGCNA_1.74
ME2	protein_YAL003W	0.108554553030145	0.00192512863736824	PXD044523_companion_Zenodo_10567083	RNAseq_969_log2tpm_top500_variance	WGCNA_signed_power6_v1	WGCNA_1.74
ME3	protein_YAL003W	-0.164204297216593	2.48124050122903e-06	PXD044523_companion_Zenodo_10567083	RNAseq_969_log2tpm_top500_variance	WGCNA_signed_power6_v1	WGCNA_1.74
