feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	ECOLI-B36-RPMI
PROT:WP_001295377.1	WP_001295377.1	EW036_RS05175	gcvH	glycine cleavage system protein GcvH	0.0004998375	gcvH — glycine cleavage system protein GcvH	search FASTA description + reference GFF	27.65600058001745
PROT:WP_001295378.1	WP_001295378.1	EW036_RS05145	ygfB	UPF0149 family protein YgfB	0.0004998375	ygfB — UPF0149 family protein YgfB	search FASTA description + reference GFF	29.19917893653133
PROT:WP_001295380.1	WP_001295380.1	EW036_RS04970	speA	biosynthetic arginine decarboxylase	0.0004998375	speA — biosynthetic arginine decarboxylase	search FASTA description + reference GFF	32.805520431247594
PROT:WP_001295400.1	WP_001295400.1	EW036_RS12455	tyrS	tyrosine--tRNA ligase	0.0004998375	tyrS — tyrosine--tRNA ligase	search FASTA description + reference GFF	32.745690282810465
PROT:WP_001295403.1	WP_001295403.1	EW036_RS12660	pykF	pyruvate kinase PykF	0.0004998375	pykF — pyruvate kinase PykF	search FASTA description + reference GFF	34.309457077924385
PROT:WP_001295412.1	WP_001295412.1	EW036_RS21610	deoC	deoxyribose-phosphate aldolase	0.0004998375	deoC — deoxyribose-phosphate aldolase	search FASTA description + reference GFF	32.036223932045765
PROT:WP_001295424.1	WP_001295424.1	EW036_RS15560	udk	uridine kinase	0.0004998375	udk — uridine kinase	search FASTA description + reference GFF	29.81597628264617
PROT:WP_001295430.1	WP_001295430.1	EW036_RS15835	yehS	DUF1456 family protein	0.0004998375	yehS — DUF1456 family protein	search FASTA description + reference GFF	26.339406982015863
PROT:WP_001295435.1	WP_001295435.1	EW036_RS09600	roxA	[50S ribosomal protein L16]-arginine 3-hydroxylase	0.0004998375	roxA — [50S ribosomal protein L16]-arginine 3-hydroxylase	search FASTA description + reference GFF	28.89885329635988
PROT:WP_001295443.1	WP_001295443.1	EW036_RS09275	yceB	lipoprotein	0.0004998375	yceB — lipoprotein	search FASTA description + reference GFF	29.436466216534555
PROT:WP_001295467.1	WP_001295467.1	EW036_RS07185	purC	phosphoribosylaminoimidazolesuccinocarboxamide synthase	0.0004998375	purC — phosphoribosylaminoimidazolesuccinocarboxamide synthase	search FASTA description + reference GFF	33.412452680052766
PROT:WP_001295469.1	WP_001295469.1	EW036_RS07175	dapA	4-hydroxy-tetrahydrodipicolinate synthase	0.0004998375	dapA — 4-hydroxy-tetrahydrodipicolinate synthase	search FASTA description + reference GFF	32.172677649459345
PROT:WP_001295473.1	WP_001295473.1	EW036_RS07135	upp	uracil phosphoribosyltransferase	0.0004998375	upp — uracil phosphoribosyltransferase	search FASTA description + reference GFF	32.18475226390694
PROT:WP_001295493.1	WP_001295493.1	EW036_RS13295	yoaB	RidA family protein	0.0004998375	yoaB — RidA family protein	search FASTA description + reference GFF	29.7597942296677
PROT:WP_001295500.1	WP_001295500.1	EW036_RS13490	yebF	protein YebF	0.0004998375	yebF — protein YebF	search FASTA description + reference GFF	31.075612246264612
PROT:WP_001295524.1	WP_001295524.1	EW036_RS21755	btsT	pyruvate/proton symporter BtsT	0.0004998375	btsT — pyruvate/proton symporter BtsT	search FASTA description + reference GFF	25.972078847387348
PROT:WP_001295538.1	WP_001295538.1	EW036_RS22450		DeoR family transcriptional regulator	0.0004998375	EW036_RS22450 — DeoR family transcriptional regulator	search FASTA description + reference GFF	26.100410070704424
PROT:WP_001295543.1	WP_001295543.1	EW036_RS03490	yqjC	DUF1090 family protein YqjC	0.0004998375	yqjC — DUF1090 family protein YqjC	search FASTA description + reference GFF	26.59040075586704
PROT:WP_001295552.1	WP_001295552.1	EW036_RS03220	ubiT	ubiquinone anaerobic biosynthesis accessory factor UbiT	0.0029467936	ubiT — ubiquinone anaerobic biosynthesis accessory factor UbiT	search FASTA description + reference GFF	24.30376341055008
PROT:WP_001295553.1	WP_001295553.1	EW036_RS03195	deaD	ATP-dependent RNA helicase DeaD	0.0004998375	deaD — ATP-dependent RNA helicase DeaD	search FASTA description + reference GFF	29.507953184562727
PROT:WP_001295556.1	WP_001295556.1	EW036_RS03125	secG	preprotein translocase subunit SecG	0.0004998375	secG — preprotein translocase subunit SecG	search FASTA description + reference GFF	28.6270383353594
PROT:WP_001295557.1	WP_001295557.1	EW036_RS03015	kdsD	arabinose-5-phosphate isomerase KdsD	0.0004998375	kdsD — arabinose-5-phosphate isomerase KdsD	search FASTA description + reference GFF	30.15428124168985
PROT:WP_001295561.1	WP_001295561.1	EW036_RS20540	rseP	sigma E protease regulator RseP	0.0004998375	rseP — sigma E protease regulator RseP	search FASTA description + reference GFF	27.22837987012722
PROT:WP_001295562.1	WP_001295562.1	EW036_RS20550	ispU	(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase	0.0004998375	ispU — (2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase	search FASTA description + reference GFF	24.50809313493876
PROT:WP_001295564.1	WP_001295564.1	EW036_RS20630	erpA	iron-sulfur cluster insertion protein ErpA	0.0004998375	erpA — iron-sulfur cluster insertion protein ErpA	search FASTA description + reference GFF	30.631411146612407
PROT:WP_001295568.1	WP_001295568.1	EW036_RS20830	yacC	YacC family pilotin-like protein	0.0006141319	yacC — YacC family pilotin-like protein	search FASTA description + reference GFF	23.5809986164586
PROT:WP_001295575.1	WP_001295575.1	EW036_RS11100	yciO	L-threonylcarbamoyladenylate synthase	0.0004998375	yciO — L-threonylcarbamoyladenylate synthase	search FASTA description + reference GFF	31.31535521721596
PROT:WP_001295593.1	WP_001295593.1	EW036_RS11545	uspF	universal stress protein UspF	0.0004998375	uspF — universal stress protein UspF	search FASTA description + reference GFF	33.52222073659796
PROT:WP_001295621.1	WP_001295621.1	EW036_RS10470	chaC	glutathione-specific gamma-glutamylcyclotransferase	0.0004998375	chaC — glutathione-specific gamma-glutamylcyclotransferase	search FASTA description + reference GFF	26.06084196461548
PROT:WP_001295726.1	WP_001295726.1	EW036_RS22145		Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase	0.0004998375	EW036_RS22145 — Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase	search FASTA description + reference GFF	26.65399461349724
PROT:WP_001295727.1	WP_001295727.1	EW036_RS22140	dcm	DNA (cytosine-5-)-methyltransferase	0.0004998375	dcm — DNA (cytosine-5-)-methyltransferase	search FASTA description + reference GFF	27.901390928712715
PROT:WP_001295733.1	WP_001295733.1	EW036_RS21990	nanM	N-acetylneuraminate epimerase	0.0004998375	nanM — N-acetylneuraminate epimerase	search FASTA description + reference GFF	27.950346078820296
PROT:WP_001295740.1	WP_001295740.1	EW036_RS21845	yjiL	putative 2-hydroxyacyl-CoA dehydratase activator YjiL	0.0005087936	yjiL — putative 2-hydroxyacyl-CoA dehydratase activator YjiL	search FASTA description + reference GFF	25.52621675587744
PROT:WP_001295741.1	WP_001295741.1	EW036_RS21840	yjiM	double-cubane-cluster-containing anaerobic reductase	0.0004998375	yjiM — double-cubane-cluster-containing anaerobic reductase	search FASTA description + reference GFF	24.72361167275479
PROT:WP_001295745.1	WP_001295745.1	EW036_RS21765	yjiA	GTPase	0.0004998375	yjiA — GTPase	search FASTA description + reference GFF	27.51223804438261
PROT:WP_001295748.1	WP_001295748.1	EW036_RS21640	osmY	molecular chaperone OsmY	0.0004998375	osmY — molecular chaperone OsmY	search FASTA description + reference GFF	35.38642274513399
PROT:WP_001295749.1	WP_001295749.1	EW036_RS21630	yjjU	patatin-like phospholipase family protein	0.0004998375	yjjU — patatin-like phospholipase family protein	search FASTA description + reference GFF	25.42438963905647
PROT:WP_001295751.1	WP_001295751.1	EW036_RS21570	radA	DNA repair protein RadA	0.0004998375	radA — DNA repair protein RadA	search FASTA description + reference GFF	26.10731185607123
PROT:WP_001295757.1	WP_001295757.1	EW036_RS21335	carA	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	0.0004998375	carA — glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	search FASTA description + reference GFF	32.2016165169366
PROT:WP_001295765.1	WP_001295765.1	EW036_RS21130	thiB	thiamine ABC transporter substrate binding subunit	0.0004998375	thiB — thiamine ABC transporter substrate binding subunit	search FASTA description + reference GFF	28.569177330161995
PROT:WP_001295770.1	WP_001295770.1	EW036_RS21065	mraZ	division/cell wall cluster transcriptional repressor MraZ	0.000978894	mraZ — division/cell wall cluster transcriptional repressor MraZ	search FASTA description + reference GFF	27.24666943763274
PROT:WP_001295775.1	WP_001295775.1	EW036_RS20850	acnB	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	0.0004998375	acnB — bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	search FASTA description + reference GFF	34.92779673172346
PROT:WP_001295777.1	WP_001295777.1	EW036_RS20820	gcd	quinoprotein glucose dehydrogenase	0.0004998375	gcd — quinoprotein glucose dehydrogenase	search FASTA description + reference GFF	29.86500236068585
PROT:WP_001295782.1	WP_001295782.1	EW036_RS20695	hrpB	ATP-dependent helicase HrpB	0.0004998375	hrpB — ATP-dependent helicase HrpB	search FASTA description + reference GFF	25.7750119086917
PROT:WP_001295799.1	WP_001295799.1	EW036_RS19820		aldo/keto reductase	0.0004998375	EW036_RS19820 — aldo/keto reductase	search FASTA description + reference GFF	29.550952957764466
PROT:WP_001295801.1	WP_001295801.1	EW036_RS19800	rclR	reactive chlorine-specific transcriptional regulator RclR	0.0004998375	rclR — reactive chlorine-specific transcriptional regulator RclR	search FASTA description + reference GFF	24.402938115511468
PROT:WP_001295802.1	WP_001295802.1	EW036_RS19790	ykgF	LutB/LldF family L-lactate oxidation iron-sulfur protein	0.0004998375	ykgF — LutB/LldF family L-lactate oxidation iron-sulfur protein	search FASTA description + reference GFF	27.11090018807269
PROT:WP_001295803.1	WP_001295803.1	EW036_RS19785	ykgG	LutC/YkgG family protein	0.0004998375	ykgG — LutC/YkgG family protein	search FASTA description + reference GFF	25.391616666856912
PROT:WP_001295806.1	WP_001295806.1	EW036_RS19745	betB	betaine-aldehyde dehydrogenase	0.0004998375	betB — betaine-aldehyde dehydrogenase	search FASTA description + reference GFF	29.994271488068826
PROT:WP_001295808.1	WP_001295808.1	EW036_RS19730	pdeL	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL	0.0004998375	pdeL — DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL	search FASTA description + reference GFF	28.35178988193979
