feature_id	sample_id	mz	rt_apex_minutes	rt_start_minutes	rt_end_minutes	peak_area	peak_height	scan_count	mass_span_ppm	first_scan_id	last_scan_id	polarity	collision_energy_ev
MET:FEATURE:negative:118.00430:8.990:001391	ECOLI-B36-RPMI	118.00429786841997	8.990066666666667	8.88755	8.990066666666667	92.81946078186178	1396.6358642578125	3	6.1768779757865016	533260	539411	negative	0.0
MET:FEATURE:negative:118.00434:21.975:001392	ECOLI-B36-RPMI	118.00434490125903	21.974716666666666	21.872216666666667	22.04305	107.09649584452356	761.4140014648438	4	3.044769901164782	1312341	1322591	negative	0.0
MET:FEATURE:negative:118.00435:32.932:001393	ECOLI-B36-RPMI	118.00434508717989	32.93195	32.7611	32.93195	186.28071565348444	1327.16796875	4	5.487833996683857	1965674	1975924	negative	0.0
MET:FEATURE:negative:118.00438:5.402:001394	ECOLI-B36-RPMI	118.00437949899275	5.402216666666667	5.0605166666666666	5.402216666666667	314.1174514455162	1183.5914306640625	6	14.597009004165907	303639	324140	negative	0.0
MET:FEATURE:negative:118.00444:9.263:001395	ECOLI-B36-RPMI	118.00444263246901	9.263416666666666	9.160916666666667	9.365933333333333	185.49664953053679	1089.8675537109375	4	12.429135479865204	549663	561963	negative	0.0
MET:FEATURE:negative:118.00460:13.535:001396	ECOLI-B36-RPMI	118.00459654973513	13.534766666666666	13.534766666666666	13.637283333333333	107.80837626546204	1106.5760498046875	3	4.726958759868602	812093	818244	negative	0.0
MET:FEATURE:negative:118.00492:4.616:001397	ECOLI-B36-RPMI	118.00491992323225	4.616316666666667	4.4113	4.68465	328.3836187754321	1294.5552978515625	5	13.23476586530001	264686	281087	negative	0.0
MET:FEATURE:negative:118.00503:11.860:001398	ECOLI-B36-RPMI	118.00503092824682	11.860383333333333	11.757883333333334	11.894566666666666	113.92085688679916	910.3214111328125	3	3.3793037155364587	705481	713682	negative	0.0
MET:FEATURE:negative:118.01255:31.668:001399	ECOLI-B36-RPMI	118.01254727532786	31.667666666666666	31.428483333333332	31.667666666666666	253.83633351440398	1101.7935791015625	4	9.657796403756935	1885716	1900068	negative	0.0
MET:FEATURE:negative:118.01278:31.155:001400	ECOLI-B36-RPMI	118.01278318715185	31.155033333333332	31.0867	31.189216666666667	133.35296643880167	1794.8819580078125	4	12.222091388278432	1865210	1871361	negative	0.0
MET:FEATURE:negative:118.01287:13.603:001401	ECOLI-B36-RPMI	118.01287073535677	13.603116666666667	13.603116666666667	13.705616666666666	78.10229006449327	1081.1363525390625	3	12.892475480465517	816195	822344	negative	0.0
MET:FEATURE:negative:118.01357:32.727:001402	ECOLI-B36-RPMI	118.01357318026777	32.726933333333335	32.726933333333335	32.79526666666667	71.33252395630016	1326.4295654296875	3	10.707395064712308	1963623	1967723	negative	0.0
MET:FEATURE:negative:118.01377:13.911:001403	ECOLI-B36-RPMI	118.01377263425766	13.910633333333333	13.8423	13.910633333333333	55.88457883199034	1189.6414794921875	3	6.308638931653769	830546	834646	negative	0.0
MET:FEATURE:negative:118.01383:10.767:001404	ECOLI-B36-RPMI	118.01383112310418	10.76695	10.76695	10.9378	134.6008955200193	899.224853515625	3	8.026670532697873	646025	656276	negative	0.0
MET:FEATURE:negative:118.01411:13.330:001405	ECOLI-B36-RPMI	118.01410958116759	13.32975	13.261416666666667	13.398083333333334	111.33475677490252	1060.3441162109375	4	13.017387841817873	795692	803893	negative	0.0
MET:FEATURE:negative:118.01413:7.418:001406	ECOLI-B36-RPMI	118.01413068420739	7.41825	7.213233333333333	7.75995	742.4674514602667	1936.0333251953125	11	19.884976190202618	432802	465604	negative	0.0
MET:FEATURE:negative:118.01430:9.844:001407	ECOLI-B36-RPMI	118.0142968410005	9.8443	9.707633333333334	10.1519	446.468051022338	1239.9046630859375	10	17.019766782804552	582466	609122	negative	0.0
MET:FEATURE:negative:118.01436:15.004:001408	ECOLI-B36-RPMI	118.01436174055102	15.004066666666667	14.764883333333334	15.277433333333333	419.7467899052933	1226.4862060546875	9	9.212063937115552	885901	916653	negative	0.0
MET:FEATURE:negative:118.01437:9.024:001409	ECOLI-B36-RPMI	118.01437085921746	9.024233333333333	8.990066666666667	9.22925	271.99151765136673	1416.3408203125	4	13.16078300652975	539411	553763	negative	0.0
MET:FEATURE:negative:118.01438:4.787:001410	ECOLI-B36-RPMI	118.01437601757974	4.787166666666667	4.787166666666667	4.92385	124.37274493611628	1094.718505859375	5	11.825429027744583	287238	295438	negative	0.0
