modality	platform	comparison_key	B36_logFC	MS14384_logFC	B36_FDR	MS14384_FDR	gene_name	annotation_description	MS14384_minus_B36_logFC	B36_significant_FDR_lt_0_05	MS14384_significant_FDR_lt_0_05	comparison_definition	source_layer
RNAseq	publisher_transcriptomics	g004747		0.674505398535011		0.478431102136118	hpaB	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component		False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004748	1.95576202325232		0.00723790578182373		fdrA	acyl-CoA synthetase FdrA		True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004750	-0.673713558409174	-0.862023757610915	0.139604563577645	0.0187780946140299	gshA	glutamate--cysteine ligase	-0.18831019920174097	False	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004751	2.26629595893547	-0.0293944518283399	0.000127939970071296	0.982704196007395	EW036_RS24430	bifunctional metallophosphatase/5'-nucleotidase	-2.29569041076381	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004755	-2.64130207713076	-1.57209771582666	9.61495637957152e-09	4.61597279444105e-07	gpmM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.0692043613041	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004756	2.00327568689596		0.000797307172353332		tssC	type VI secretion system contractile sheath large subunit		True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004757	3.49675972556322		8.33229748816695e-13		EW036_RS18600	sugar ABC transporter ATP-binding protein		True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004758	-1.04811167377781	-2.01595437867469	0.00705938400630175	3.6967362852415e-06	ilvA	threonine ammonia-lyase, biosynthetic	-0.9678427048968801	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004759	3.76135217216793	0.71838260562526	3.35229946813418e-15	0.220177355457126	xylG	D-xylose ABC transporter ATP-binding protein	-3.04296956654267	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004760	-0.239462047039758	-0.0651693564717132	0.577163613736477	0.922936641864571	tyrR	transcriptional regulator TyrR	0.1742926905680448	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004761	0.0856217564069026	0.133349306551479	0.8445584842161	0.801515448595755	gsiB	glutathione ABC transporter substrate-binding protein GsiB	0.0477275501445764	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004762	-0.791004478935873	-0.443430524645351	0.061384048662171	0.290550968786524	ppx	exopolyphosphatase	0.347573954290522	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004765	3.28805002228759	3.23830287124163	1.15877540608579e-11	3.58952713318373e-07	EW036_RS01000	aldehyde dehydrogenase	-0.04974715104596017	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004767	0.206034890736172	0.0420679630575223	0.597917504359321	0.942341649003271	EW036_RS09305	murein biosynthesis integral membrane protein MurJ	-0.1639669276786497	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004768	0.296843443988518	0.140321315864131	0.548540286594916	0.812158371093266	mdoG	glucans biosynthesis protein MdoG	-0.15652212812438698	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004769	1.69903633677387	1.53746355749724	0.00323938448653997	0.000301747339150826	EW036_RS10145	SpoVR family protein	-0.16157277927662994	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004770	0.639550338202215	0.953158193973346	0.287820118187277	0.0903112626219798	pntA	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	0.31360785577113104	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004774	-0.762134093143842	0.440866147261408	0.137843477790596	0.469780262885948	nuoM	NADH-quinone oxidoreductase subunit M	1.20300024040525	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004775		0.248750186379739		0.614978104835277	abgT	p-aminobenzoyl-glutamate transporter		False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004779	1.97196416245069		2.16218657170658e-06		EW036_RS18585	carbohydrate kinase		True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
