gene_id	gene_symbol	description	BC187	YJM981	CENPK1137D_TPM	BC187_within_dataset_percentile	YJM981_within_dataset_percentile	CENPK1137D_TPM_within_dataset_percentile	comparison_scope	source_layer
YHR112C	YHR112C	putative cystathionine beta-lyase	196.690773	207.996389	129.50682381747814	0.8600402539092739	0.8694844403158384	0.7611464968152867	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR113W	APE4	aspartyl aminopeptidase	96.405637	111.493878	101.86965815672951	0.721473912370336	0.7673014398513702	0.6993255901086549	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR114W	BZZ1	Bzz1p	34.424601	34.538482	48.29415874803946	0.37111007895959125	0.38310884037776743	0.45710003746721617	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR115C	DMA1	ubiquitin-conjugating protein DMA1	65.933044	44.634983	60.30992438056738	0.6073695618516798	0.4766991794395417	0.5419632821281378	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR116W	COX23	Cox23p	37.295279	7.203091	91.03128773897224	0.39882334726737884	0.16109304845951386	0.6666354439865118	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR117W	TOM71	protein channel TOM71	84.590354	68.429368	44.554587199944606	0.6823037621922898	0.6265675801207617	0.42918696140876733	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR118C	ORC6	origin recognition complex subunit 6	25.353946	20.089356	31.73567829432059	0.27666821489394644	0.2518191670537235	0.2980517047583365	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR119W	SET1	histone methyltransferase SET1	24.385109	18.230951	18.681021320636148	0.2666047375754761	0.23486607834030035	0.13394529786436868	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR120W	MSH1	mismatch repair ATPase MSH1	20.372546	29.652726	9.154385129606103	0.23316302833255922	0.33751354698869795	0.04233795428999625	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR121W	LSM12	Lsm12p	110.060748	145.594399	148.94006408240986	0.7574701966248645	0.8202508128193219	0.7913076058448857	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR122W	CIA2	iron-sulfur cluster assembly protein CIA2	78.191481	113.262402	125.93156359509496	0.6595448211797492	0.7712494194147701	0.7540277257399776	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR123W	EPT1	bifunctional diacylglycerol cholinephosphotransferase/ethanolaminephosphotransferase	79.194331	119.25181	31.323742027717337	0.6641895030190432	0.7834030035609227	0.2929936305732484	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR124W	NDT80	transcription factor NDT80	11.283603	12.203964	6.624802356972028	0.17309180987769004	0.1924446508747484	0.026227051330086175	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR125W	YHR125W	uncharacterized protein	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR126C	ANS1	Ans1p	1.771526	0.0	56.97143937042096	0.11503328688651494	0.06758012076172783	0.5228550018733608	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
