reported_result_id	study_accession	source_sample_id	showcase_sample_id	metabolite_name	reported_abundance	source_identification_label	database_identifier	chemical_formula	smiles	inchi	pubchem_id	kegg_id	hmdb_id	method	is_internal_standard	result_layer	mapping_to_reprocessed_feature	annotation_source
MTBLS697:ROW:0024	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	4232985.0	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	CHEBI:74670	C44H82NO8P	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	InChI=1S/C44H82NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,20-23,42H,6-14,16,18-19,24-41H2,1-5H3/b17-15-,22-20-,23-21-/t42-/m1/s1				Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0025	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-oleoyl-GPC (18:1)	15007058.0	1-oleoyl-GPC (18:1)					16081932		HMDB02815	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0026	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-oleoyl-GPE (18:1)	41422044.0	1-oleoyl-GPE (18:1)					9547071		HMDB11506	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0027	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-oleoyl-GPI (18:1)*	19833252.0	1-oleoyl-GPI (18:1)*	CHEBI:82753	C27H51O12P	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C27H51O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(29)37-18-20(28)19-38-40(35,36)39-27-25(33)23(31)22(30)24(32)26(27)34/h9-10,20,22-28,30-34H,2-8,11-19H2,1H3,(H,35,36)/b10-9-/t20-,22-,23-,24+,25-,26-,27-/m1/s1				Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0028	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-oleoyl-GPS (18:1)	13733205.0	1-oleoyl-GPS (18:1)					9547099		HMDB61694	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0029	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*	1275625984.0	1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*								Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0030	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*	463194528.0	1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*								Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0031	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoleoyl-2-oleoyl-GPI (16:1/18:1)*	58260168.0	1-palmitoleoyl-2-oleoyl-GPI (16:1/18:1)*								Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0032	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoleoyl-GPC (16:1)*	19896088.0	1-palmitoleoyl-GPC (16:1)*					24779461		HMDB10383	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0033	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	373714.0	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)					10747814		HMDB07982	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0034	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	757371328.0	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	CHEBI:73001	C42H82NO8P	C(OP(=O)(OCC[N+](C)(C)C)[O-])[C@@H](COC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\CCCCCCCC)=O	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	6436017		HMDB07972	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0035	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	61411728.0	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)					5283496		HMDB05320	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0036	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-oleoyl-GPG (16:0/18:1)	1000981.0	1-palmitoyl-2-oleoyl-GPG (16:0/18:1)					5283509			Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0037	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	328026560.0	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*							HMDB09783	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0038	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-oleoyl-GPS (16:0/18:1)	108170608.0	1-palmitoyl-2-oleoyl-GPS (16:0/18:1)					5283499	C13880	HMDB12357	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
