feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	YEAST-CENPK-LOWGROWTH
PROT:sp|P32319|VPS10_YEAST	sp|P32319|VPS10_YEAST		PEP1	Vacuolar protein sorting/targeting protein VPS10	0.00035489036	PEP1 — Vacuolar protein sorting/targeting protein VPS10	search FASTA description + reference GFF	29.198497006021
PROT:sp|P32324|EF2_YEAST	sp|P32324|EF2_YEAST		EFT1	Elongation factor 2	0.00035489036	EFT1 — Elongation factor 2	search FASTA description + reference GFF	37.99561844372054
PROT:sp|P32327|PYC2_YEAST	sp|P32327|PYC2_YEAST		PYC2	Pyruvate carboxylase 2	0.00035489036	PYC2 — Pyruvate carboxylase 2	search FASTA description + reference GFF	31.94944823179076
PROT:sp|P32332|OAC1_YEAST	sp|P32332|OAC1_YEAST		OAC1	Mitochondrial oxaloacetate transport protein	0.00035489036	OAC1 — Mitochondrial oxaloacetate transport protein	search FASTA description + reference GFF	30.95872881904702
PROT:sp|P32335|MSS51_YEAST	sp|P32335|MSS51_YEAST		MSS51	Protein MSS51, mitochondrial	0.00035489036	MSS51 — Protein MSS51, mitochondrial	search FASTA description + reference GFF	29.58205510304266
PROT:sp|P32337|IMB3_YEAST	sp|P32337|IMB3_YEAST		PSE1	Importin subunit beta-3	0.00035489036	PSE1 — Importin subunit beta-3	search FASTA description + reference GFF	26.866444671728733
PROT:sp|P32340|NDI1_YEAST	sp|P32340|NDI1_YEAST		NDI1	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	0.00035489036	NDI1 — Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	search FASTA description + reference GFF	34.59129627915189
PROT:sp|P32341|VPH2_YEAST	sp|P32341|VPH2_YEAST		VPH2	Vacuolar ATPase assembly integral membrane protein VPH2	0.00035489036	VPH2 — Vacuolar ATPase assembly integral membrane protein VPH2	search FASTA description + reference GFF	25.446530859137297
PROT:sp|P32342|SRP21_YEAST	sp|P32342|SRP21_YEAST		SRP21	Signal recognition particle subunit SRP21	0.00035489036	SRP21 — Signal recognition particle subunit SRP21	search FASTA description + reference GFF	28.75640622084417
PROT:sp|P32347|DCUP_YEAST	sp|P32347|DCUP_YEAST		HEM12	Uroporphyrinogen decarboxylase	0.00035489036	HEM12 — Uroporphyrinogen decarboxylase	search FASTA description + reference GFF	30.48141230882733
PROT:sp|P32349|RPC3_YEAST	sp|P32349|RPC3_YEAST		RPC82	DNA-directed RNA polymerase III subunit RPC3	0.00035489036	RPC82 — DNA-directed RNA polymerase III subunit RPC3	search FASTA description + reference GFF	23.877913152536063
PROT:sp|P32353|ERG3_YEAST	sp|P32353|ERG3_YEAST		ERG3	Delta(7)-sterol 5(6)-desaturase ERG3	0.00035489036	ERG3 — Delta(7)-sterol 5(6)-desaturase ERG3	search FASTA description + reference GFF	30.043293011121705
PROT:sp|P32356|TREA_YEAST	sp|P32356|TREA_YEAST		NTH1	Cytosolic neutral trehalase	0.00035489036	NTH1 — Cytosolic neutral trehalase	search FASTA description + reference GFF	30.90337171415008
PROT:sp|P32364|SMY1_YEAST	sp|P32364|SMY1_YEAST		SMY1	Kinesin-related protein SMY1	0.00035489036	SMY1 — Kinesin-related protein SMY1	search FASTA description + reference GFF	24.5056423386067
PROT:sp|P32366|VA0D_YEAST	sp|P32366|VA0D_YEAST		VMA6	V-type proton ATPase subunit d	0.00035489036	VMA6 — V-type proton ATPase subunit d	search FASTA description + reference GFF	30.66470695337838
PROT:sp|P32368|SAC1_YEAST	sp|P32368|SAC1_YEAST		SAC1	Phosphatidylinositol-3-phosphatase SAC1	0.00035489036	SAC1 — Phosphatidylinositol-3-phosphatase SAC1	search FASTA description + reference GFF	30.18046978499424
PROT:sp|P32377|MVD1_YEAST	sp|P32377|MVD1_YEAST		MVD1	Diphosphomevalonate decarboxylase	0.00035489036	MVD1 — Diphosphomevalonate decarboxylase	search FASTA description + reference GFF	34.09226850687883
PROT:sp|P32379|PSA5_YEAST	sp|P32379|PSA5_YEAST		PUP2	Proteasome subunit alpha type-5	0.00035489036	PUP2 — Proteasome subunit alpha type-5	search FASTA description + reference GFF	32.46547695810349
PROT:sp|P32380|SP110_YEAST	sp|P32380|SP110_YEAST		SPC110	Spindle pole body component 110	0.00035489036	SPC110 — Spindle pole body component 110	search FASTA description + reference GFF	24.79239497696545
PROT:sp|P32381|ARP2_YEAST	sp|P32381|ARP2_YEAST		ARP2	Actin-related protein 2	0.00035489036	ARP2 — Actin-related protein 2	search FASTA description + reference GFF	32.55606276649975
PROT:sp|P32386|YBT1_YEAST	sp|P32386|YBT1_YEAST		YBT1	ATP-dependent bile acid permease	0.00035489036	YBT1 — ATP-dependent bile acid permease	search FASTA description + reference GFF	28.645180983541326
PROT:sp|P32387|RM41_YEAST	sp|P32387|RM41_YEAST		MRP20	Large ribosomal subunit protein uL23m	0.00035489036	MRP20 — Large ribosomal subunit protein uL23m	search FASTA description + reference GFF	30.218954657354235
PROT:sp|P32388|RM49_YEAST	sp|P32388|RM49_YEAST		MRP49	Large ribosomal subunit protein mL61	0.00035489036	MRP49 — Large ribosomal subunit protein mL61	search FASTA description + reference GFF	25.720741530027567
PROT:sp|P32419|MDHP_YEAST	sp|P32419|MDHP_YEAST		MDH3	Malate dehydrogenase, peroxisomal	0.00035489036	MDH3 — Malate dehydrogenase, peroxisomal	search FASTA description + reference GFF	33.88995975136068
PROT:sp|P32445|RIM1_YEAST	sp|P32445|RIM1_YEAST		RIM1	Single-stranded DNA-binding protein RIM1, mitochondrial	0.00035489036	RIM1 — Single-stranded DNA-binding protein RIM1, mitochondrial	search FASTA description + reference GFF	33.41498869691973
PROT:sp|P32447|ASF1_YEAST	sp|P32447|ASF1_YEAST		ASF1	Histone chaperone ASF1	0.00035489036	ASF1 — Histone chaperone ASF1	search FASTA description + reference GFF	28.70925923560493
PROT:sp|P32449|AROG_YEAST	sp|P32449|AROG_YEAST		ARO4	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	0.00035489036	ARO4 — Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	search FASTA description + reference GFF	34.608122545517965
PROT:sp|P32451|BIOB_YEAST	sp|P32451|BIOB_YEAST		BIO2	Biotin synthase, mitochondrial	0.00035489036	BIO2 — Biotin synthase, mitochondrial	search FASTA description + reference GFF	31.05736627261146
PROT:sp|P32452|PHA2_YEAST	sp|P32452|PHA2_YEAST		PHA2	Probable prephenate dehydratase	0.00035489036	PHA2 — Probable prephenate dehydratase	search FASTA description + reference GFF	27.532411345727294
PROT:sp|P32453|ATP11_YEAST	sp|P32453|ATP11_YEAST		ATP11	Protein ATP11, mitochondrial	0.00035489036	ATP11 — Protein ATP11, mitochondrial	search FASTA description + reference GFF	31.188244517463787
PROT:sp|P32454|APE2_YEAST	sp|P32454|APE2_YEAST		APE2	Aminopeptidase 2, mitochondrial	0.00035489036	APE2 — Aminopeptidase 2, mitochondrial	search FASTA description + reference GFF	34.209314110236285
PROT:sp|P32457|CDC3_YEAST	sp|P32457|CDC3_YEAST		CDC3	Cell division control protein 3	0.00035489036	CDC3 — Cell division control protein 3	search FASTA description + reference GFF	32.1248006793959
PROT:sp|P32458|CDC11_YEAST	sp|P32458|CDC11_YEAST		CDC11	Cell division control protein 11	0.00035489036	CDC11 — Cell division control protein 11	search FASTA description + reference GFF	27.538236326312116
PROT:sp|P32461|DPH2_YEAST	sp|P32461|DPH2_YEAST		DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	0.00035489036	DPH2 — 2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	search FASTA description + reference GFF	27.44379431937471
PROT:sp|P32463|ACPM_YEAST	sp|P32463|ACPM_YEAST		ACP1	Acyl carrier protein, mitochondrial	0.00035489036	ACP1 — Acyl carrier protein, mitochondrial	search FASTA description + reference GFF	32.53832266413848
PROT:sp|P32467|HXT4_YEAST	sp|P32467|HXT4_YEAST		HXT4	Low-affinity glucose transporter HXT4	0.0006170898	HXT4 — Low-affinity glucose transporter HXT4	search FASTA description + reference GFF	27.430262177063145
PROT:sp|P32468|CDC12_YEAST	sp|P32468|CDC12_YEAST		CDC12	Cell division control protein 12	0.00035489036	CDC12 — Cell division control protein 12	search FASTA description + reference GFF	31.141526606953104
PROT:sp|P32469|DPH5_YEAST	sp|P32469|DPH5_YEAST		DPH5	Diphthine methyl ester synthase	0.00035489036	DPH5 — Diphthine methyl ester synthase	search FASTA description + reference GFF	31.23966633848246
PROT:sp|P32471|EF1B_YEAST	sp|P32471|EF1B_YEAST		EFB1	Elongation factor 1-beta	0.00035489036	EFB1 — Elongation factor 1-beta	search FASTA description + reference GFF	36.59401534957178
PROT:sp|P32472|FKBP2_YEAST	sp|P32472|FKBP2_YEAST		FPR2	Peptidyl-prolyl cis-trans isomerase FPR2	0.00035489036	FPR2 — Peptidyl-prolyl cis-trans isomerase FPR2	search FASTA description + reference GFF	30.44040107082594
PROT:sp|P32473|ODPB_YEAST	sp|P32473|ODPB_YEAST		PDB1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	0.00035489036	PDB1 — Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	search FASTA description + reference GFF	34.363890214204915
PROT:sp|P32474|EUG1_YEAST	sp|P32474|EUG1_YEAST		EUG1	Protein disulfide-isomerase EUG1	0.00035489036	EUG1 — Protein disulfide-isomerase EUG1	search FASTA description + reference GFF	29.18172787831386
PROT:sp|P32476|ERG1_YEAST	sp|P32476|ERG1_YEAST		ERG1	Squalene epoxidase ERG1	0.00035489036	ERG1 — Squalene epoxidase ERG1	search FASTA description + reference GFF	33.04501182228741
PROT:sp|P32477|GSH1_YEAST	sp|P32477|GSH1_YEAST		GSH1	Glutamate--cysteine ligase	0.00035489036	GSH1 — Glutamate--cysteine ligase	search FASTA description + reference GFF	28.707904342005016
PROT:sp|P32478|HS150_YEAST	sp|P32478|HS150_YEAST		HSP150	Cell wall mannoprotein HSP150	0.00035489036	HSP150 — Cell wall mannoprotein HSP150	search FASTA description + reference GFF	31.11125790775231
PROT:sp|P32481|IF2G_YEAST	sp|P32481|IF2G_YEAST		GCD11	Eukaryotic translation initiation factor 2 subunit gamma	0.00035489036	GCD11 — Eukaryotic translation initiation factor 2 subunit gamma	search FASTA description + reference GFF	33.32079119692229
PROT:sp|P32485|HOG1_YEAST	sp|P32485|HOG1_YEAST		HOG1	Mitogen-activated protein kinase HOG1	0.00035489036	HOG1 — Mitogen-activated protein kinase HOG1	search FASTA description + reference GFF	30.117032949124752
