model_id	total_score	passed	failed_model_qc_findings	skipped	errored	execution_status	finding_policy	upstream_baseline	claim_scope
iML1515	0.9060384928327713	81	69	5	0	COMPLETED	preserve_published_model_and_report_findings_without_mutation	micro_pilot_processing_20260730:v1.0.0	model_quality_audit_not_model_validation
yeast_GEM_v9_1_0	0.6950784707961151	64	74	8	0	COMPLETED	preserve_published_model_and_report_findings_without_mutation	micro_pilot_processing_20260730:v1.0.0	model_quality_audit_not_model_validation
